"Folder","Pose","Files","MaxW","MaxH","Scale"
"idle_rotation_calm","stand","8","40","119","0,992"
"south_powerup","stand","9","69","124","0,952"
"die_death_frame\east","fall","8","76","124","0,71"
"die_death_frame\north","fall","8","99","111","0,793"
"die_death_frame\north_east","fall","9","114","123","0,715"
"die_death_frame\north_west","fall","8","103","124","0,71"
"die_death_frame\south","fall","8","96","120","0,733"
"die_death_frame\south_east","fall","8","96","99","0,889"
"die_death_frame\south_west","fall","9","87","102","0,863"
"die_death_frame\west","fall","8","75","121","0,727"
"emotions\emo_no","stand","9","103","123","0,959"
"emotions\emo_scared","stand","9","82","124","0,952"
"emotions\emo_smug","stand","9","57","124","0,952"
"holding_a_longbow_h\rotations","stand","8","124","121","0,968"
"holding_a_longbow_h\animations\bow_idle_running\east","stand","9","86","124","0,952"
"holding_a_longbow_h\animations\bow_idle_running\north","stand","9","124","115","0,968"
"holding_a_longbow_h\animations\bow_idle_running\north-east","stand","9","121","116","0,992"
"holding_a_longbow_h\animations\bow_idle_running\north-west","stand","9","119","123","0,959"
"holding_a_longbow_h\animations\bow_idle_running\south","stand","9","124","111","0,968"
"holding_a_longbow_h\animations\bow_idle_running\south-east","stand","9","124","102","0,968"
"holding_a_longbow_h\animations\bow_idle_running\south-west","stand","9","124","110","0,968"
"holding_a_longbow_h\animations\bow_idle_running\west","stand","9","111","124","0,952"
"holding_a_longbow_h\animations\bow_idle_shooting\east","stand","9","92","124","0,952"
"holding_a_longbow_h\animations\bow_idle_shooting\north","stand","9","124","117","0,968"
"holding_a_longbow_h\animations\bow_idle_shooting\north-east","stand","9","109","124","0,952"
"holding_a_longbow_h\animations\bow_idle_shooting\north-west","stand","9","113","124","0,952"
"holding_a_longbow_h\animations\bow_idle_shooting\south","stand","9","121","124","0,952"
"holding_a_longbow_h\animations\bow_idle_shooting\south-east","stand","9","108","124","0,952"
"holding_a_longbow_h\animations\bow_idle_shooting\south-west","stand","9","119","124","0,952"
"holding_a_longbow_h\animations\bow_idle_shooting\west","stand","9","82","124","0,952"
"holding_daggers_due\rotations","stand","8","99","124","0,952"
"holding_daggers_due\animations\daggers_idle_running\east","stand","9","110","124","0,952"
"holding_daggers_due\animations\daggers_idle_running\north","stand","9","105","124","0,952"
"holding_daggers_due\animations\daggers_idle_running\north_east","stand","9","102","123","0,959"
"holding_daggers_due\animations\daggers_idle_running\north_west","stand","9","104","124","0,952"
"holding_daggers_due\animations\daggers_idle_running\south","stand","9","100","117","1,009"
"holding_daggers_due\animations\daggers_idle_running\south-east","stand","9","97","124","0,952"
"holding_daggers_due\animations\daggers_idle_running\south_west","stand","9","104","123","0,959"
"holding_daggers_due\animations\daggers_idle_running\west","stand","9","69","80","1,475"
"holding_daggers_due\animations\daggers_idle_runstartframe\east","stand","9","99","123","0,959"
"holding_daggers_due\animations\daggers_idle_runstartframe\north-east","stand","9","104","124","0,952"
"holding_daggers_due\animations\daggers_idle_runstartframe\south","stand","9","112","124","0,952"
"holding_daggers_due\animations\daggers_idle_runstartframe\south-east","stand","9","101","124","0,952"
"holding_daggers_due\animations\daggers_idle_runstartframe\south-west","stand","9","103","124","0,952"
"holding_daggers_due\animations\daggers_idle_runstartframe\west","stand","9","97","123","0,959"
"holding_staff_long\rotations_staff","stand","8","63","124","0,952"
"holding_staff_long\animations_staff\holding_staff_closing_eyes_chanting_sticking_one_a\staff_emo_victory","stand","9","103","124","0,952"
"holding_staff_long\animations_staff\holding_staff_closing_eyes_chanting_sticking_one_a\idle_breathing\idle_north","stand","9","110","124","0,952"
"holding_staff_long\animations_staff\holding_staff_closing_eyes_chanting_sticking_one_a\idle_breathing\idle_south","stand","9","76","92","1,283"
"holding_staff_long\animations_staff\holding_staff_closing_eyes_chanting_sticking_one_a\staffskill1\staffskill1_Buff_north_east","stand","9","106","124","0,952"
